agent_id,agent_type,o_node_id,d_node_id,o_osm_node_id,d_osm_node_id,o_zone_id,d_zone_id,geometry,departure_time
120,v,154,193,,,6,10,"LINESTRING(-109.5601268 37.2856711,-109.5596213 37.2834062)",0748
121,v,218,13,,83629495.0,6,10,"LINESTRING(-109.5657039 37.2839058,-109.5683662 37.2832676)",0708
122,v,239,45,,83726606.0,6,10,"LINESTRING(-109.5606614 37.286254,-109.5664269 37.2783889)",0756
123,v,154,18,,83629530.0,6,10,"LINESTRING(-109.5601268 37.2856711,-109.5682903 37.2824789)",0709
124,v,239,255,,,6,10,"LINESTRING(-109.5606614 37.286254,-109.5621134 37.2816062)",0709
125,v,218,211,,,6,10,"LINESTRING(-109.5657039 37.2839058,-109.5647891 37.2813594)",0741
126,v,38,241,83713699.0,,6,10,"LINESTRING(-109.5571039 37.2856194,-109.5688981 37.282688)",0739
127,v,156,56,,83741035.0,6,10,"LINESTRING(-109.5576521 37.2845586,-109.5667452 37.2816075)",0727
128,v,168,193,,,6,10,"LINESTRING(-109.5580456 37.2839477,-109.5596213 37.2834062)",0729
129,v,218,18,,83629530.0,6,10,"LINESTRING(-109.5657039 37.2839058,-109.5682903 37.2824789)",0757
130,v,5,67,83614583.0,83757599.0,6,10,"LINESTRING(-109.5588703 37.2854701,-109.5696165 37.2804687)",0749
131,v,88,208,1331799412.0,,6,10,"LINESTRING(-109.5570964 37.289252,-109.5671011 37.2834742)",0708
132,v,38,173,83713699.0,,6,10,"LINESTRING(-109.5571039 37.2856194,-109.5570134 37.2826692)",0720
133,v,164,173,,,6,10,"LINESTRING(-109.5583507 37.2871624,-109.5570134 37.2826692)",0752
134,v,58,57,83741039.0,83741037.0,6,10,"LINESTRING(-109.5669459 37.283577,-109.5669202 37.2833253)",0746
135,v,175,241,,,6,10,"LINESTRING(-109.5598115 37.2846327,-109.5688981 37.282688)",0734
136,v,192,186,,,6,10,"LINESTRING(-109.5595412 37.2848753,-109.5582895 37.2825923)",0722
137,v,174,50,,83734491.0,6,10,"LINESTRING(-109.568227 37.2839252,-109.5681056 37.2805577)",0746
138,v,151,171,,,6,10,"LINESTRING(-109.5583103 37.2840083,-109.5685831 37.2827192)",0741
139,v,17,208,83629512.0,,6,10,"LINESTRING(-109.5684056 37.2837785,-109.5671011 37.2834742)",0713
140,v,238,66,,83751036.0,6,10,"LINESTRING(-109.5576561 37.284662,-109.5653887 37.2834136)",0708
141,v,252,193,,,6,10,"LINESTRING(-109.5591611 37.284811,-109.5596213 37.2834062)",0724
142,v,218,27,,83692120.0,6,10,"LINESTRING(-109.5657039 37.2839058,-109.5695476 37.279706)",0726
143,v,205,112,,3801403348.0,6,10,"LINESTRING(-109.55757 37.2852757,-109.5662933 37.2775978)",0714
144,v,169,211,,,6,10,"LINESTRING(-109.5573399 37.2838146,-109.5647891 37.2813594)",0706
145,v,38,208,83713699.0,,6,10,"LINESTRING(-109.5571039 37.2856194,-109.5671011 37.2834742)",0708
146,v,38,219,83713699.0,,6,10,"LINESTRING(-109.5571039 37.2856194,-109.559317 37.2820492)",0717
147,v,192,56,,83741035.0,6,10,"LINESTRING(-109.5595412 37.2848753,-109.5667452 37.2816075)",0710
148,v,220,229,,,6,10,"LINESTRING(-109.5574885 37.2837023,-109.5687679 37.2812283)",0800
149,v,151,190,,,6,10,"LINESTRING(-109.5583103 37.2840083,-109.5595771 37.2826893)",0707
150,v,214,240,,,6,10,"LINESTRING(-109.5591086 37.2851679,-109.557271 37.2831428)",0757
151,v,238,162,,,6,10,"LINESTRING(-109.5576561 37.284662,-109.5589656 37.2825079)",0800
152,v,169,243,,,6,10,"LINESTRING(-109.5573399 37.2838146,-109.5593795 37.2823991)",0724
153,v,202,190,,,6,10,"LINESTRING(-109.5573064 37.2837054,-109.5595771 37.2826893)",0753
154,v,250,112,,3801403348.0,6,10,"LINESTRING(-109.5594386 37.2851491,-109.5662933 37.2775978)",0751
155,v,238,66,,83751036.0,6,10,"LINESTRING(-109.5576561 37.284662,-109.5653887 37.2834136)",0750
156,v,175,185,,,6,11,"LINESTRING(-109.5598115 37.2846327,-109.5527347 37.283359)",0757
157,v,177,245,,,6,11,"LINESTRING(-109.5599343 37.2857083,-109.5531929 37.2832267)",0745
158,v,214,228,,,6,11,"LINESTRING(-109.5591086 37.2851679,-109.5528569 37.283489)",0715
159,v,95,209,2447686969.0,,6,11,"LINESTRING(-109.5587983 37.2842327,-109.5523066 37.2832604)",0732
160,v,174,198,,,6,11,"LINESTRING(-109.568227 37.2839252,-109.5532799 37.2832264)",0735
161,v,38,231,83713699.0,,6,11,"LINESTRING(-109.5571039 37.2856194,-109.5533603 37.2834142)",0739
162,v,24,209,83651148.0,,6,11,"LINESTRING(-109.5588494 37.2844233,-109.5523066 37.2832604)",0755
163,v,250,191,,,6,12,"LINESTRING(-109.5594386 37.2851491,-109.5405438 37.2834472)",0730
164,v,4,191,83614581.0,,6,12,"LINESTRING(-109.5583982 37.285596,-109.5405438 37.2834472)",0702
165,v,238,191,,,6,12,"LINESTRING(-109.5576561 37.284662,-109.5405438 37.2834472)",0708
166,v,154,142,,,6,19,"LINESTRING(-109.5601268 37.2856711,-109.5376123 37.2955)",0734
167,v,249,142,,,6,19,"LINESTRING(-109.5598269 37.2868968,-109.5376123 37.2955)",0746
168,v,6,137,83614585.0,,6,21,"LINESTRING(-109.5600255 37.285309,-109.5306 37.2846293)",0708
