name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link
4th West,93,10152354,59,28,1,82.50989427950384,1,29,,residential,6,"LINESTRING (-109.5665715 37.279904, -109.5666469 37.2806436)",auto;bike;walk,1,0
4th West,94,10152354,28,59,1,82.50989427950384,1,29,,residential,6,"LINESTRING (-109.5666469 37.2806436, -109.5665715 37.279904)",auto;bike;walk,1,0
4th West,95,10152354,28,56,1,107.53306835578556,1,29,,residential,6,"LINESTRING (-109.5666469 37.2806436, -109.5667452 37.2816075)",auto;bike;walk,1,0
4th West,96,10152354,56,28,1,107.53306835578556,1,29,,residential,6,"LINESTRING (-109.5667452 37.2816075, -109.5666469 37.2806436)",auto;bike;walk,1,0
4th West,97,10152354,56,57,1,191.6371158152788,1,29,,residential,6,"LINESTRING (-109.5667452 37.2816075, -109.5667608 37.2817606, -109.5668326 37.282465, -109.5668897 37.2830256, -109.5669202 37.2833253)",auto;bike;walk,1,0
4th West,98,10152354,57,56,1,191.6371158152788,1,29,,residential,6,"LINESTRING (-109.5669202 37.2833253, -109.5668897 37.2830256, -109.5668326 37.282465, -109.5667608 37.2817606, -109.5667452 37.2816075)",auto;bike;walk,1,0
4th West,99,10152354,57,58,1,28.07997041211417,1,29,,residential,6,"LINESTRING (-109.5669202 37.2833253, -109.5669459 37.283577)",auto;bike;walk,1,0
4th West,100,10152354,58,57,1,28.07997041211417,1,29,,residential,6,"LINESTRING (-109.5669459 37.283577, -109.5669202 37.2833253)",auto;bike;walk,1,0
7th West,101,10152801,78,70,1,105.21869565225303,1,29,,residential,6,"LINESTRING (-109.5710371 37.2794362, -109.5711227 37.28038)",auto;bike;walk,1,0
7th West,102,10152801,70,78,1,105.21869565225303,1,29,,residential,6,"LINESTRING (-109.5711227 37.28038, -109.5710371 37.2794362)",auto;bike;walk,1,0
7th West,103,10152801,70,54,1,105.48697606645949,1,29,,residential,6,"LINESTRING (-109.5711227 37.28038, -109.571271 37.2813213)",auto;bike;walk,1,0
7th West,104,10152801,54,70,1,105.48697606645949,1,29,,residential,6,"LINESTRING (-109.571271 37.2813213, -109.5711227 37.28038)",auto;bike;walk,1,0
7th West,105,10152801,54,20,1,107.61264984759069,1,29,,residential,6,"LINESTRING (-109.571271 37.2813213, -109.571326 37.2818015, -109.571338 37.282287)",auto;bike;walk,1,0
7th West,106,10152801,20,54,1,107.61264984759069,1,29,,residential,6,"LINESTRING (-109.571338 37.282287, -109.571326 37.2818015, -109.571271 37.2813213)",auto;bike;walk,1,0
7th West,107,10152801,20,15,1,85.08512581249333,1,29,,residential,6,"LINESTRING (-109.571338 37.282287, -109.5713788 37.2830515)",auto;bike;walk,1,0
7th West,108,10152801,15,20,1,85.08512581249333,1,29,,residential,6,"LINESTRING (-109.5713788 37.2830515, -109.571338 37.282287)",auto;bike;walk,1,0
7th West,109,10152801,15,65,1,77.13830733904072,1,29,,residential,6,"LINESTRING (-109.5713788 37.2830515, -109.5714126 37.2837447)",auto;bike;walk,1,0
7th West,110,10152801,65,15,1,77.13830733904072,1,29,,residential,6,"LINESTRING (-109.5714126 37.2837447, -109.5713788 37.2830515)",auto;bike;walk,1,0
Willow,111,10152857,13,57,1,128.09166614095554,1,29,,residential,6,"LINESTRING (-109.5683662 37.2832676, -109.5669202 37.2833253)",auto;bike;walk,1,0
Willow,112,10152857,57,13,1,128.09166614095554,1,29,,residential,6,"LINESTRING (-109.5669202 37.2833253, -109.5683662 37.2832676)",auto;bike;walk,1,0
Willow,113,10152857,57,66,1,135.8504066800382,1,29,,residential,6,"LINESTRING (-109.5669202 37.2833253, -109.5653887 37.2834136)",auto;bike;walk,1,0
Willow,114,10152857,66,57,1,135.8504066800382,1,29,,residential,6,"LINESTRING (-109.5653887 37.2834136, -109.5669202 37.2833253)",auto;bike;walk,1,0
6th West,115,10153207,32,27,1,82.00517384253747,1,29,,residential,6,"LINESTRING (-109.5694176 37.2789758, -109.5695476 37.279706)",auto;bike;walk,1,0
