o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
8,B4,14,Gate2,4.572500786326786,"LINESTRING (-109.5412776 37.2858769,-109.5886621 37.28648)"
8,B4,15,Gate3,4.615514860089831,"LINESTRING (-109.5412776 37.2858769,-109.5886621 37.29242)"
8,B4,16,Gate4,3.5597296784223214,"LINESTRING (-109.5412776 37.2858769,-109.5759921 37.2983644)"
8,B4,17,Gate5,2.4446439604838153,"LINESTRING (-109.5412776 37.2858769,-109.5633221 37.2983644)"
8,B4,18,Gate6,1.506666417038865,"LINESTRING (-109.5412776 37.2858769,-109.5506521 37.2983644)"
8,B4,19,Gate7,1.2461758220781967,"LINESTRING (-109.5412776 37.2858769,-109.5379821 37.2983644)"
8,B4,20,Gate8,1.6647671388702336,"LINESTRING (-109.5412776 37.2858769,-109.525315 37.2924244)"
8,B4,21,Gate9,1.5413464811189628,"LINESTRING (-109.5412776 37.2858769,-109.525315 37.2864844)"
8,B4,22,Gate10,1.623900102720259,"LINESTRING (-109.5412776 37.2858769,-109.525315 37.2805444)"
8,B4,23,Gate11,1.1335360058221442,"LINESTRING (-109.5412776 37.2858769,-109.537985 37.2746)"
8,B4,24,Gate12,1.4151599087658489,"LINESTRING (-109.5412776 37.2858769,-109.550655 37.2746)"
8,B4,25,Gate13,2.389477379440515,"LINESTRING (-109.5412776 37.2858769,-109.563325 37.2746)"
8,B4,26,Gate14,3.5221694472229865,"LINESTRING (-109.5412776 37.2858769,-109.575995 37.2746)"
9,C1,5,B1,0.3691093413707063,"LINESTRING (-109.5724947 37.2811705,-109.5697333 37.2838178)"
9,C1,6,B2,1.2600905478236732,"LINESTRING (-109.5724947 37.2811705,-109.560079 37.2852198)"
9,C1,7,B3,1.9741018298626927,"LINESTRING (-109.5724947 37.2811705,-109.5523617 37.2848091)"
9,C1,8,B4,3.0461739806094834,"LINESTRING (-109.5724947 37.2811705,-109.5412776 37.2858769)"
9,C1,9,C1,0.0,"LINESTRING (-109.5724947 37.2811705,-109.5724947 37.2811705)"
9,C1,10,C2,0.7547833881148028,"LINESTRING (-109.5724947 37.2811705,-109.5646803 37.2815244)"
9,C1,11,C3,1.8138646654369246,"LINESTRING (-109.5724947 37.2811705,-109.553796 37.2831048)"
9,C1,12,C4,3.090756125989858,"LINESTRING (-109.5724947 37.2811705,-109.5405438 37.2834472)"
9,C1,13,Gate1,1.5611811578357246,"LINESTRING (-109.5724947 37.2811705,-109.5886621 37.28054)"
9,C1,14,Gate2,1.6419640722381597,"LINESTRING (-109.5724947 37.2811705,-109.5886621 37.28648)"
9,C1,15,Gate3,1.9004758988264618,"LINESTRING (-109.5724947 37.2811705,-109.5886621 37.29242)"
