agent_id,agent_type,o_node_id,d_node_id,o_osm_node_id,d_osm_node_id,o_zone_id,d_zone_id,geometry,departure_time
789,v,1179,1935,5264819387.0,5646687222.0,18,20,"LINESTRING(-111.9348464 33.4160975,-111.9243362 33.4167953)",0726
790,v,516,1962,3468590595.0,5646687277.0,18,20,"LINESTRING(-111.9366318 33.4164108,-111.9205672 33.4179666)",0737
791,v,2827,2031,,5665460097.0,18,23,"LINESTRING(-111.933149 33.4168202,-111.9445042 33.4213792)",0725
792,v,2703,2498,,,18,26,"LINESTRING(-111.9361098 33.4156697,-111.9434559 33.4302)",0757
793,v,2609,2280,,6786313997.0,18,27,"LINESTRING(-111.9344966 33.4165642,-111.9359804 33.4256534)",0749
794,v,1150,938,5264800457.0,5261576410.0,18,28,"LINESTRING(-111.9337435 33.4173789,-111.9292269 33.4243584)",0719
795,v,2647,2520,,,18,30,"LINESTRING(-111.9330756 33.4178483,-111.9178 33.4291958)",0723
796,v,2644,2560,,,18,32,"LINESTRING(-111.9313943 33.4178796,-111.9178 33.4228929)",0722
797,v,416,2388,2819203905.0,7241600492.0,18,36,"LINESTRING(-111.9366262 33.4161337,-111.9261364 33.4190603)",0721
798,v,2347,1631,7121959001.0,5343250026.0,18,37,"LINESTRING(-111.9342398 33.4160939,-111.932486 33.4208055)",0703
799,v,2611,2586,,,18,38,"LINESTRING(-111.9362788 33.4169601,-111.9382051 33.415)",0740
800,v,279,2926,2300341828.0,,19,1,"LINESTRING(-111.9292738 33.4166437,-111.9394959 33.4278439)",0717
801,v,2884,1928,,5641347332.0,19,1,"LINESTRING(-111.9259211 33.4157804,-111.9443068 33.4280856)",0716
802,v,2779,2794,,,19,5,"LINESTRING(-111.92699 33.4152591,-111.9409802 33.4245472)",0800
803,v,2881,3114,,,19,5,"LINESTRING(-111.9258558 33.4171283,-111.9418783 33.4249253)",0757
804,v,473,3113,2976266970.0,,19,5,"LINESTRING(-111.9249009 33.4168044,-111.9388594 33.4264352)",0723
805,v,1938,1282,5646687226.0,5266180520.0,19,5,"LINESTRING(-111.925416 33.4168125,-111.9428663 33.4254836)",0710
806,v,2779,1867,,5415311358.0,19,6,"LINESTRING(-111.92699 33.4152591,-111.9381622 33.4256128)",0759
807,v,2829,2911,,,19,7,"LINESTRING(-111.9300742 33.4177937,-111.9295947 33.4253732)",0738
808,v,1190,2873,5264822953.0,,19,9,"LINESTRING(-111.9295418 33.4166375,-111.940901 33.4238554)",0751
809,v,2882,2743,,,19,9,"LINESTRING(-111.9259025 33.4162933,-111.9394712 33.4235614)",0758
810,v,2883,2861,,,19,9,"LINESTRING(-111.9259067 33.4166518,-111.9403549 33.4215581)",0754
811,v,2833,3112,,,19,9,"LINESTRING(-111.9269102 33.4176722,-111.941489 33.4216523)",0707
812,v,2775,2675,,,19,10,"LINESTRING(-111.9281519 33.4162596,-111.9361905 33.4215084)",0743
813,v,2829,2676,,,19,10,"LINESTRING(-111.9300742 33.4177937,-111.9363509 33.4217045)",0717
814,v,279,335,2300341828.0,2488540198.0,19,10,"LINESTRING(-111.9292738 33.4166437,-111.9366626 33.4220574)",0735
815,v,2779,2673,,,19,10,"LINESTRING(-111.92699 33.4152591,-111.9353223 33.4215124)",0702
816,v,2345,276,7121950859.0,2239876862.0,19,10,"LINESTRING(-111.9272923 33.4166614,-111.9381455 33.422052)",0752
817,v,2669,2975,,,19,10,"LINESTRING(-111.9284122 33.417446,-111.9359117 33.4222725)",0735
818,v,2832,2907,,,19,11,"LINESTRING(-111.927544 33.4174442,-111.9297272 33.4243361)",0736
819,v,281,2838,2300341839.0,,19,12,"LINESTRING(-111.9264694 33.4168418,-111.9214472 33.4227907)",0703
820,v,2833,635,,4636339233.0,19,13,"LINESTRING(-111.9269102 33.4176722,-111.9397193 33.4204945)",0707
821,v,2832,2902,,,19,13,"LINESTRING(-111.927544 33.4174442,-111.9396364 33.4186825)",0718
822,v,2886,3000,,,19,13,"LINESTRING(-111.925797 33.4160707,-111.9402228 33.4193049)",0750
