activity_zone_id,grid_zone_id,name,centroid_x,centroid_y,geometry,centroid,total_poi_count,residential_poi_count,office_poi_count,shopping_poi_count,school_poi_count,parking_poi_count,boundary_node_count,zone_type
305,243.0,P5,-111.93897576666667,33.41837643333333,"POLYGON ((-111.93950680000002 33.41798000000003,-111.93950680000002 33.41878000000003,-111.93813680000002 33.41878000000003,-111.93813680000002 33.41798000000003,-111.93950680000002 33.41798000000003))",POINT (-111.93897576666667 33.41837643333333),3,0,0,0,0,1,0,demand_zone
306,244.0,P6,-111.93720655,33.418338399999996,"POLYGON ((-111.93813680000002 33.41798000000003,-111.93813680000002 33.41878000000003,-111.93676680000003 33.41878000000003,-111.93676680000003 33.41798000000003,-111.93813680000002 33.41798000000003))",POINT (-111.93720655 33.418338399999996),1,0,0,0,0,1,0,demand_zone
307,245.0,P7,-111.9359876,33.4185275,"POLYGON ((-111.93676680000003 33.41798000000003,-111.93676680000003 33.41878000000003,-111.93539680000004 33.41878000000003,-111.93539680000004 33.41798000000003,-111.93676680000003 33.41798000000003))",POINT (-111.9359876 33.4185275),1,0,0,0,0,0,0,demand_zone
308,246.0,P8,-111.93501536666668,33.4183381,"POLYGON ((-111.93539680000004 33.41798000000003,-111.93539680000004 33.41878000000003,-111.93402680000004 33.41878000000003,-111.93402680000004 33.41798000000003,-111.93539680000004 33.41798000000003))",POINT (-111.93501536666668 33.4183381),3,0,0,0,0,0,0,demand_zone
309,247.0,P9,-111.93351993636362,33.41834194545454,"POLYGON ((-111.93402680000004 33.41798000000003,-111.93402680000004 33.41878000000003,-111.93265680000005 33.41878000000003,-111.93265680000005 33.41798000000003,-111.93402680000004 33.41798000000003))",POINT (-111.93351993636362 33.41834194545454),3,0,0,0,0,1,0,demand_zone
310,248.0,P10,-111.9316662,33.41839276,"POLYGON ((-111.93265680000005 33.41798000000003,-111.93265680000005 33.41878000000003,-111.93128680000005 33.41878000000003,-111.93128680000005 33.41798000000003,-111.93265680000005 33.41798000000003))",POINT (-111.9316662 33.41839276),1,0,0,0,0,0,0,demand_zone
313,249.0,P13,-111.9283935,33.4180264,"POLYGON ((-111.92854680000006 33.41798000000003,-111.92854680000006 33.41878000000003,-111.92717680000007 33.41878000000003,-111.92717680000007 33.41798000000003,-111.92854680000006 33.41798000000003))",POINT (-111.9283935 33.4180264),1,0,0,0,1,0,0,demand_zone
316,250.0,P16,-111.9232999,33.4184475,"POLYGON ((-111.92443680000008 33.41798000000003,-111.92443680000008 33.41878000000003,-111.92306680000009 33.41878000000003,-111.92306680000009 33.41798000000003,-111.92443680000008 33.41798000000003))",POINT (-111.9232999 33.4184475),1,0,0,0,0,0,0,demand_zone
324,251.0,Q4,-111.93998114000001,33.41756985000001,"POLYGON ((-111.94087680000001 33.41718000000003,-111.94087680000001 33.41798000000003,-111.93950680000002 33.41798000000003,-111.93950680000002 33.41718000000003,-111.94087680000001 33.41718000000003))",POINT (-111.93998114000001 33.41756985000001),1,0,0,0,0,0,0,demand_zone
325,252.0,Q5,-111.938369275,33.41754495,"POLYGON ((-111.93950680000002 33.41718000000003,-111.93950680000002 33.41798000000003,-111.93813680000002 33.41798000000003,-111.93813680000002 33.41718000000003,-111.93950680000002 33.41718000000003))",POINT (-111.938369275 33.41754495),1,0,0,0,0,1,0,demand_zone
