name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,3502,546388947,1390,1391,1,49.97030804867752,1,29,,service,7,"LINESTRING (-111.9254701 33.4295098, -111.9254765 33.4292485, -111.9254811 33.4290605)",bike;walk,1
,3503,546388947,1391,1390,1,49.97030804867752,1,29,,service,7,"LINESTRING (-111.9254811 33.4290605, -111.9254765 33.4292485, -111.9254701 33.4295098)",bike;walk,1
,3504,546388949,1392,1393,1,51.55394461933031,1,29,,service,7,"LINESTRING (-111.9252978 33.4295068, -111.9253047 33.4290432)",bike;walk,1
,3505,546388949,1393,1392,1,51.55394461933031,1,29,,service,7,"LINESTRING (-111.9253047 33.4290432, -111.9252978 33.4295068)",bike;walk,1
,3506,546388951,1394,1395,1,54.55436527394453,1,29,,service,7,"LINESTRING (-111.9251101 33.4295035, -111.9251153 33.4290129)",bike;walk,1
,3507,546388951,1395,1394,1,54.55436527394453,1,29,,service,7,"LINESTRING (-111.9251153 33.4290129, -111.9251101 33.4295035)",bike;walk,1
,3508,546388952,1396,1397,1,55.58835860424108,1,29,,service,7,"LINESTRING (-111.92493 33.4295004, -111.9249351 33.4290005)",bike;walk,1
,3509,546388952,1397,1396,1,55.58835860424108,1,29,,service,7,"LINESTRING (-111.9249351 33.4290005, -111.92493 33.4295004)",bike;walk,1
,3510,546388953,1387,1398,1,55.03093960352911,1,29,,service,7,"LINESTRING (-111.9247571 33.4294974, -111.9247598 33.4290025)",bike;walk,1
,3511,546388953,1398,1387,1,55.03093960352911,1,29,,service,7,"LINESTRING (-111.9247598 33.4290025, -111.9247571 33.4294974)",bike;walk,1
,3512,546388954,1399,1386,1,60.62497691137235,1,29,,service,7,"LINESTRING (-111.9245637 33.4295534, -111.9245591 33.4290082)",bike;walk,1
,3513,546388954,1386,1399,1,60.62497691137235,1,29,,service,7,"LINESTRING (-111.9245591 33.4290082, -111.9245637 33.4295534)",bike;walk,1
,3514,546388955,1400,1401,1,62.62577750641127,1,29,,service,7,"LINESTRING (-111.9243768 33.4296074, -111.9243802 33.4290442)",bike;walk,1
,3515,546388955,1401,1400,1,62.62577750641127,1,29,,service,7,"LINESTRING (-111.9243802 33.4290442, -111.9243768 33.4296074)",bike;walk,1
,3516,546388956,1402,1403,1,59.16047645142921,1,29,,service,7,"LINESTRING (-111.9241824 33.4296411, -111.9241905 33.4291091)",bike;walk,1
,3517,546388956,1403,1402,1,59.16047645142921,1,29,,service,7,"LINESTRING (-111.9241905 33.4291091, -111.9241824 33.4296411)",bike;walk,1
,3518,546388957,1404,1405,1,30.169677843162788,1,9,,cycleway,8,"LINESTRING (-111.9260626 33.4295583, -111.9260055 33.4294772, -111.925958 33.4294354, -111.9258238 33.4293933)",bike,0
,3519,546388958,136,441,1,10.630563083072147,1,4,,footway,9,"LINESTRING (-111.926109 33.4289792, -111.9261081 33.4288836)",walk,0
,3520,546388958,441,437,1,12.324679631924312,1,4,,footway,9,"LINESTRING (-111.9261081 33.4288836, -111.9261066 33.4288352, -111.9261046 33.4287728)",walk,0
,3521,546388958,437,1406,1,8.734842597818423,1,4,,footway,9,"LINESTRING (-111.9261046 33.4287728, -111.9261011 33.4286943)",walk,0
,3522,546388958,1406,1384,1,16.54671329601205,1,4,,footway,9,"LINESTRING (-111.9261011 33.4286943, -111.9262793 33.4286892)",walk,0
,3523,546388958,1384,1347,1,16.620190280040717,1,4,,footway,9,"LINESTRING (-111.9262793 33.4286892, -111.9264582 33.4286822)",walk,0
,3524,546389668,1407,388,1,227.64561774892408,1,29,,service,7,"LINESTRING (-111.923802 33.4286633, -111.9241529 33.4285309, -111.9247777 33.428471, -111.9247877 33.4282507, -111.9241178 33.4282521, -111.9236237 33.4283392)",bike;walk,1
,3525,546389668,388,1407,1,227.64561774892408,1,29,,service,7,"LINESTRING (-111.9236237 33.4283392, -111.9241178 33.4282521, -111.9247877 33.4282507, -111.9247777 33.428471, -111.9241529 33.4285309, -111.923802 33.4286633)",bike;walk,1
